"#STN_ID,","STN_KO,","STN_SP,","LON,","LAT,","HT,","FCT_ID,","WRN_ID,","WRN_KO,",SFC_STN_ID=
지점번호,지점명,특성코드,경도,위도,해발고도,예보구역코드,특보구역코드,특보구역명,특보발표 대표지점번호
"217,","정선군,","31111211,","128.64590000,","37.38149000,","307.58,","11D10502,","L1021010,","정선군평지,","217,="
"221,","제천,","41211210,","128.19433000,","37.15928000,","264.62,","11C10201,","L1040900,","제천시,","221,="
"226,","보은,","41211210,","127.73415000,","36.48761000,","171.31,","11C10302,","L1040300,","보은군,","226,="
"229, ","북격렬비도,","01111200, 1","25.55954000,","36.62544000,","104.81,","11C20102,","L1031100,","태안군,","627,="
"232,","천안,","41211210,","127.29282000,","36.76217000,","84.78,","11C20301,","L1030200,","천안시,","232,="
"235,","보령,","31211210,","126.55744000,","36.32724000,","9.98,","11C20201,","L1031400,","보령시,","235,="
"236,","부여,","41211210,","126.92079000,","36.27242000,","13.42,","11C20501,","L1030800,","부여군,","236,="
"238,","금산,","41211210,","127.48175000,","36.10563000,","172.69,","11C20601,","L1030600,","금산군,","238,="
"239,","세종,","41211210,","127.24438000,","36.48522000,","89.50,","11C20404,","L1031800,","세종시,","239,="
"243,","부안,","31111210,","126.71657000,","35.72961000,","12.20,","21F10602,","L1060200,","부안군,","243,="
"244,","임실,","41211210,","127.28556000,","35.61203000,","247.04,","11F10402,","L1060900,","임실군,","244,="
"245,","정읍,","31211210,","126.83904000,","35.56337000,","68.70,","11F10203,","L1061200,","정읍시,","245,="
"247,","남원,","41211210,","127.39652000,","35.42130000,","133.49,","11F10401,","L1061400,","남원시,","247,="
"248,","장수,","41211210,","127.52031000,","35.65696000,","406.87,","11F10301,","L1060800,","장수군,","248,="
"251,","고창군,","41211111,","126.69700000,","35.42661000,","58.84,","21F10601,","L1060100,","고창군,","172,="
"252,","영광군,","31211111,","126.47784000,","35.28366000,","37.20,","21F20102,","L1052000,","영광군,","252,="
"253,","김해시,","41211111,","128.89075000,","35.22981000,","54.59,","11H20304,","L1080900,","김해시,","253,="
